VESSEL,HAUL,YEAR,CRUISE,START_LATITUDE,START_LONGITUDE,STATIONID,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,CPUE_NOHA
1,1,1982,198203,58.015,-158.31667,J-16,37,37,2.3,0.5,0
1,1,1983,198303,56.6565,-159.75717,F-14,35,35,8.2,5.6,0
1,1,1984,198402,57.30067,-158.44917,H-16,31,31,6,NA,0
1,2,1982,198203,57.67167,-158.36,I-16,38,38,1.1,-0.6,0
1,2,1983,198303,56.993,-159.70933,G-14,55,55,8.3,3.8,0
1,2,1984,198402,57.65167,-158.354,I-16,37,37,4.9,5.1,0
1,3,1982,198203,57.33833,-158.41,H-16,29,29,2.4,0.5,0
1,3,1983,198303,57.30917,-159.68333,H-14,57,57,7.7,4.2,0
1,3,1984,198402,57.9885,-158.31417,J-16,38,38,5.8,5.8,0
1,4,1982,198203,56.685,-159.76,F-14,40,40,2.8,0.7,0
1,4,1983,198303,57.65967,-159.61833,I-14,49,49,7.6,4.4,0
1,4,1984,198402,58.32717,-159.543,K-14,26,26,6.4,6,0
1,5,1983,198303,57.9895,-159.59783,J-14,44,44,8.8,4.6,0
1,5,1984,198402,58.006,-159.61167,J-14,42,42,6.6,3.9,0
1,6,1982,198203,56.99333,-159.72333,G-14,59,59,0.8,0.4,0
1,6,1983,198303,58.31533,-159.5405,K-14,26,26,9.5,5.8,0
1,6,1984,198402,57.673,-159.63617,I-14,51,51,3.1,3.4,0
1,7,1982,198203,57.31667,-159.66333,H-14,59,59,1.8,0.6,0
1,7,1983,198303,58.32983,-160.73383,K-12,22,22,9,8.5,0
1,7,1984,198402,57.34133,-159.66883,H-14,59,59,4.5,3.8,0
1,8,1982,198203,57.65,-159.64167,I-14,55,55,1,0.3,0
1,8,1983,198303,58.01167,-160.85683,J-12,48,48,6.6,3.5,0
1,8,1984,198402,57.00167,-159.71217,G-14,59,59,6.7,3.3,0
1,9,1982,198203,57.99667,-159.605,J-14,44,44,0.9,0,0
1,9,1983,198303,57.679,-160.882,I-12,59,59,6.9,3.6,0
1,9,1984,198402,56.6865,-159.75667,F-14,38,38,6.6,4.8,0
1,10,1982,198203,58.32167,-159.54,K-14,26,26,1.1,0.8,0
1,10,1983,198303,57.34,-160.9475,H-12,60,60,9.2,3.9,0
1,10,1984,198402,56.3165,-161.00767,E-12,55,55,7.8,3.1,0
1,11,1982,198203,58.33333,-160.72167,K-12,20,20,4.4,4.1,0
1,11,1983,198303,57.00933,-160.95983,G-12,64,64,8.7,3.2,0
1,11,1984,198402,56.65133,-160.9905,F-12,73,73,8.1,3.1,0
1,12,1982,198203,58.00167,-160.85333,J-12,46,46,3.7,1.9,0
1,12,1983,198303,56.67267,-160.98983,F-12,71,71,8.3,3.3,0
1,12,1984,198402,56.98483,-160.9595,G-12,68,68,7.1,1.7,0
1,13,1982,198203,57.675,-160.89,I-12,59,59,2.1,0.8,0
1,13,1983,198303,56.3455,-160.99917,E-12,57,57,7.9,3.9,0
1,13,1984,198402,57.3155,-160.9455,H-12,62,62,6.8,1.7,0
1,14,1982,198203,57.345,-160.94,H-12,66,66,2.4,0.6,0
1,14,1983,198303,55.9915,-162.259,D-10,70,70,8.4,3,0
1,14,1984,198402,57.64883,-160.89917,I-12,57,57,7.4,2.6,0
1,15,1982,198203,57.015,-160.95167,G-12,66,66,3.5,-0.3,0
1,15,1983,198303,56.34733,-162.22317,E-10,86,86,8.4,2.8,0
1,15,1984,198402,57.98517,-160.87133,J-12,48,48,4.3,3.8,0
1,16,1982,198203,56.67833,-160.99167,F-12,70,70,4.2,0.8,0
1,16,1983,198303,56.66017,-162.181,F-10,75,75,7.7,2.6,0
1,16,1984,198402,58.3165,-160.7615,K-12,22,22,7.7,7.8,0
1,17,1982,198203,56.34167,-161.00333,E-12,53,53,6.3,2.1,0
1,17,1983,198303,56.99483,-162.19717,G-10,64,64,7.4,2.9,0
1,17,1984,198402,58.32817,-162.03517,K-10,49,49,4.5,3.3,0
1,18,1982,198203,56.00167,-162.23167,D-10,73,73,5.8,3,0
1,18,1983,198303,57.3185,-162.16333,H-10,51,51,6.8,4.4,0
1,18,1984,198402,58.00983,-162.1215,J-10,38,38,4.6,2.2,0
1,19,1982,198203,56.32333,-162.205,E-10,80,80,3.5,1.7,0
1,19,1983,198303,57.65417,-162.15867,I-10,48,48,6.6,3.7,0
1,19,1984,198402,57.67267,-162.16367,I-10,49,49,3.9,3.7,0
